author2,country,year,year1,representative,study,grade,grade1,product,timing,total,w.cases
"Florida Health,FYTS",USA,2016,1,state,FYTS,6,9,,lifetime,11770,122
"Florida Health,FYTS",USA,2016,1,state,FYTS,7,9,,lifetime,11755,217
"Florida Health,FYTS",USA,2016,1,state,FYTS,8,9,,lifetime,12182,440
"Florida Health,FYTS",USA,2016,1,state,FYTS,9,9,,lifetime,10027,575
"Florida Health,FYTS",USA,2016,1,state,FYTS,10,10,,lifetime,9320,717
"Florida Health,FYTS",USA,2016,1,state,FYTS,11,11,,lifetime,7602,748
"Florida Health,FYTS",USA,2016,1,state,FYTS,12,12,,lifetime,6057,689
"Florida Health,FYTS",USA,2017,2,state,FYTS,6,9,,lifetime,1866,16
"Florida Health,FYTS",USA,2017,2,state,FYTS,7,9,,lifetime,1981,46
"Florida Health,FYTS",USA,2017,2,state,FYTS,8,9,,lifetime,1865,68
"Florida Health,FYTS",USA,2017,2,state,FYTS,9,9,,lifetime,1659,94
"Florida Health,FYTS",USA,2017,2,state,FYTS,10,10,,lifetime,1546,91
"Florida Health,FYTS",USA,2017,2,state,FYTS,11,11,,lifetime,1454,155
"Florida Health,FYTS",USA,2017,2,state,FYTS,12,12,,lifetime,1112,144
"Florida Health,FYTS",USA,2018,2,state,FYTS,6,9,,lifetime,10119,106
"Florida Health,FYTS",USA,2018,2,state,FYTS,7,9,,lifetime,9662,205
"Florida Health,FYTS",USA,2018,2,state,FYTS,8,9,,lifetime,10048,417
"Florida Health,FYTS",USA,2018,2,state,FYTS,9,9,,lifetime,8451,640
"Florida Health,FYTS",USA,2018,2,state,FYTS,10,10,,lifetime,7519,723
"Florida Health,FYTS",USA,2018,2,state,FYTS,11,11,,lifetime,6702,838
"Florida Health,FYTS",USA,2018,2,state,FYTS,12,12,,lifetime,5379,785
"Florida Health,FYTS",USA,2019,3,state,FYTS,6,9,,lifetime,1642,25
"Florida Health,FYTS",USA,2019,3,state,FYTS,7,9,,lifetime,1660,57
"Florida Health,FYTS",USA,2019,3,state,FYTS,8,9,,lifetime,1781,118
"Florida Health,FYTS",USA,2019,3,state,FYTS,9,9,,lifetime,1751,186
"Florida Health,FYTS",USA,2019,3,state,FYTS,10,10,,lifetime,1423,192
"Florida Health,FYTS",USA,2019,3,state,FYTS,11,11,,lifetime,1379,227
"Florida Health,FYTS",USA,2019,3,state,FYTS,12,12,,lifetime,1113,223
"Florida Health,FYTS",USA,2020,3,state,FYTS,6,9,,lifetime,4655,169
"Florida Health,FYTS",USA,2020,3,state,FYTS,7,9,,lifetime,4881,402
"Florida Health,FYTS",USA,2020,3,state,FYTS,8,9,,lifetime,5181,808
"Florida Health,FYTS",USA,2020,3,state,FYTS,9,9,,lifetime,4469,1023
"Florida Health,FYTS",USA,2020,3,state,FYTS,10,10,,lifetime,4335,1350
